time,hex,lat,lon,altitude,squawk,callsign,vspeed,track,groundspeed,tas,qnh,mcp_alt,precision,gps_altitude,oat
04:09:32Z.880,4ca9bf,29.768015,34.371051,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.331,4ca9bf,29.768015,34.371051,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.341,4ca9bf,29.768853,34.370728,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.647,4ca9bf,29.768853,34.370728,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.751,4ca9bf,29.768853,34.370728,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.831,4ca9bf,29.768853,34.370728,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.874,4ca9bf,29.768853,34.370728,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.891,4ca9bf,29.769791,34.370358,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:33Z.977,4ca9bf,29.769791,34.370358,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:34Z.267,4ca9bf,29.769791,34.370358,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:34Z.271,4ca9bf,29.769791,34.370358,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:34Z.441,4ca9bf,29.770752,34.369935,28475,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
