"station","lat","lon","n_start","n_end"
"Monroe St & Bedford Ave",40.6851443,-73.95380904,449,447
"Monroe St & Classon Ave",40.6845683,-73.95881081,234,137
"Monroe St & Tompkins Ave",40.686203,-73.944694,13,9
"Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,490,526
"Mott St & Prince St",40.72317958,-73.99480012,2571,2830
"Murray St & West St",40.7149787,-74.013012,1675,1729
"Myrtle Ave & Lewis Ave",40.69681963,-73.93756926,439,477
"Myrtle Ave & Marcy Ave",40.69539817,-73.94954908,224,203
"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,282,242
"N 11 St & Wythe Ave",40.72153267,-73.95782357,523,559
"N 12 St & Bedford Ave",40.72079821,-73.95484712,461,449
"N 15 St & Wythe Ave",40.724055,-73.955736,156,152
"N 6 St & Bedford Ave",40.71745169,-73.95850939,1655,1647
"N 8 St & Driggs Ave",40.71774592,-73.95600096,1703,1709
"N Henry St & Richardson St",40.71921585,-73.9424469,521,527
"Nassau Ave & Russell St",40.72557,-73.94434,877,866
"Nassau St & Navy St",40.69839895,-73.98068914,314,286
"Norfolk St & Broome St",40.7172274,-73.98802084,1648,1647
"Norman Ave & Leonard St",40.7258483,-73.95064893,372,347
"Nostrand Ave & Myrtle Ave",40.69527008,-73.95238108,129,118
"Old Fulton St",40.70277159,-73.99383605,925,917
"Old Slip & Front St",40.7037992,-74.00838676,1017,1108
"PABT Valet",40.7589848139963,-73.9937996864319,2097,706
"Park Ave & Marcus Garvey Blvd",40.698617,-73.941342,83,93
"Park Ave & St Edwards St",40.69608941,-73.97803415,150,117
"Pearl St & Anchorage Pl",40.70281858,-73.98765762,586,776
"Pearl St & Hanover Square",40.7047177,-74.00926027,1458,2261
"Peck Slip & Front St",40.707873,-74.00167,1524,1644
"Penn Station Valet",40.7512835969623,-73.9969244599342,3937,2069
"Perry St & Bleecker St",40.73535398,-74.00483091,1640,1642
"Pershing Square North",40.751873,-73.977706,8843,8752
"Pershing Square South",40.751581,-73.97791,4165,3411
"Pike St & E Broadway",40.71406667,-73.99293911,1756,1742
"Pike St & Monroe St",40.71173107,-73.99193043,777,769
"Pitt St & Stanton St",40.71926081,-73.98178024,692,656
"Pulaski St & Marcus Garvey Blvd",40.6933982,-73.939877,117,116
"Putnam Ave & Nostrand Ave",40.68402,-73.94977,165,145
"Putnam Ave & Throop Ave",40.6851532,-73.94111,260,216
"Queens Plaza North & Crescent St",40.75110165,-73.94073717,807,805
"Railroad Ave & Kay Ave",40.70531194,-73.97100056,22,35
"Reade St & Broadway",40.71450451,-74.00562789,1597,1613
"Riverside Blvd & W 67 St",40.777507027548,-73.9888858795166,1128,1129
"Riverside Dr & W 72 St",40.7805779901033,-73.9856243133545,967,933
"Riverside Dr & W 78 St",40.78414472,-73.98362492,701,595
"Riverside Dr & W 82 St",40.78720869,-73.98128127,1098,1050
"Rivington St & Chrystie St",40.72110063,-73.9919254,1558,1566
"Roebling St & N 4 St",40.71469,-73.95739,486,480
"S 3 St & Bedford Ave",40.71260486,-73.96264403,775,670
"S 4 St & Rodney St",40.70934,-73.95608,245,234
"S 4 St & Wythe Ave",40.71285887,-73.96590294,810,785
"S 5 Pl & S 4 St",40.710451,-73.960876,1481,1308
"S Portland Ave & Hanson Pl",40.68539567,-73.97431458,390,382
"Sands St & Navy St",40.699773,-73.979927,146,167
"Schermerhorn St & Court St",40.6910292567797,-73.991833627224,15,23
"Scholes St & Manhattan Ave",40.70870368,-73.9448625,264,237
"Shevchenko Pl & E 7 St",40.728145,-73.990214,2353,2388
"South End Ave & Liberty St",40.711512,-74.015756,3956,3962
"South St & Gouverneur Ln",40.70355377,-74.00670227,1383,1417
"South St & Whitehall St",40.70122128,-74.01234218,1163,1362
"Spruce St & Nassau St",40.71146364,-74.00552427,1420,1433
"St James Pl & Oliver St",40.71307916,-73.99851193,1395,1387
"St James Pl & Pearl St",40.71117416,-74.00016545,713,717
"St Marks Pl & 1 Ave",40.72779126,-73.98564945,2558,2531
"St Marks Pl & 2 Ave",40.7284186,-73.98713956,3296,3279
"Stagg St & Union Ave",40.70877084,-73.95095259,499,463
"Stanton St & Chrystie St",40.72229346,-73.99147535,2073,2039
"Stanton St & Mangin St",40.71782143,-73.97628939,882,878
"State St & Smith St",40.68926942,-73.98912867,1208,1250
"Suffolk St & Stanton St",40.72066442,-73.98517977,2888,2895
"Sullivan St & Washington Sq",40.73047747,-73.99906065,2325,2616
"Throop Ave & Myrtle Ave",40.69622937,-73.94371094,97,73
"Tompkins Ave & Hopkins St",40.69957608,-73.94708417,158,163
"Union Ave & Jackson St",40.7160751,-73.952029,389,392
"Union Ave & N 12 St",40.71924,-73.95242,411,411
"Union Ave & Wallabout St",40.70029511,-73.95032283,142,144
"University Pl & E 14 St",40.73492695,-73.99200509,3968,4529
"Vernon Blvd & 50 Ave",40.74232744,-73.95411749,1049,1042
"Vesey Pl & River Terrace",40.7153379,-74.01658354,4172,4172
"W 11 St & 6 Ave",40.73532427,-73.99800419,1700,1703
"W 13 St & 5 Ave",40.73543934,-73.99453948,2643,2691
"W 13 St & 6 Ave",40.73649403,-73.99704374,3137,3158
"W 13 St & 7 Ave",40.73781509,-73.99994661,2606,2758
"W 13 St & Hudson St",40.7399735410341,-74.0051387250423,2222,2368
"W 14 St & The High Line",40.74195138,-74.00803013,1544,1795
"W 15 St & 7 Ave",40.73935542,-73.99931783,3001,3097
"W 16 St & The High Line",40.74334935,-74.00681753,2628,2635
"W 17 St & 8 Ave",40.74177603,-74.00149746,3686,3750
"W 18 St & 6 Ave",40.73971301,-73.99456405,4719,5064
"W 20 St & 11 Ave",40.746745,-74.007756,4211,4404
"W 20 St & 7 Ave",40.74238787,-73.99726235,3257,3270
"W 20 St & 8 Ave",40.74345335,-74.00004031,2590,2602
"W 21 St & 6 Ave",40.74173969,-73.99415556,6918,7003
"W 22 St & 10 Ave",40.74691959,-74.00451887,3503,3545
"W 22 St & 8 Ave",40.74475148,-73.99915362,3345,3423
"W 24 St & 7 Ave",40.74487634,-73.99529885,4075,4084
"W 25 St & 6 Ave",40.74395411,-73.99144871,3234,3255
"W 26 St & 10 Ave",40.749717753,-74.002950346,2502,2499
"W 26 St & 8 Ave",40.74734825,-73.99723551,3733,3781
"W 27 St & 7 Ave",40.746647,-73.993915,3940,3951
"W 29 St & 9 Ave",40.7500727,-73.99839279,2304,2325
"W 31 St & 7 Ave",40.749156,-73.9916,4370,4540
"W 33 St & 7 Ave",40.75019995,-73.99093085,3978,4586
"W 34 St & 11 Ave",40.75594159,-74.0021163,1290,1288
"W 37 St & 10 Ave",40.75660359,-73.9979009,2272,2260
"W 37 St & 5 Ave",40.75038009,-73.98338988,2361,2355
"W 38 St & 8 Ave",40.75466591,-73.99138152,4419,4409
"W 39 St & 9 Ave",40.75645824,-73.99372222,3445,3425
"W 4 St & 7 Ave S",40.73401143,-74.00293877,3314,3365
"W 41 St & 8 Ave",40.75640548,-73.9900262,4497,5250
"W 42 St & 8 Ave",40.7575699,-73.99098507,2967,2832
"W 43 St & 10 Ave",40.76009437,-73.99461843,2998,3010
"W 43 St & 6 Ave",40.75527307,-73.98316936,2430,2373
"W 44 St & 5 Ave",40.75500254,-73.98014437,3338,3331
"W 45 St & 6 Ave",40.7568001,-73.98291153,2145,2174
"W 45 St & 8 Ave",40.75929124,-73.98859651,2506,2486
"W 46 St & 11 Ave",40.76341379,-73.99667444,1923,1906
"W 47 St & 10 Ave",40.76269882,-73.99301222,2198,2210
"W 49 St & 8 Ave",40.76227205,-73.98788205,2853,2820
"W 51 St & 6 Ave",40.7606597,-73.98042047,2602,2600
"W 52 St & 11 Ave",40.76727216,-73.99392888,1648,1646
